आजको खबर के छ?	What's the news today?
शहरको पार्कमा।	In the city park.
अन्य साथीहरूसँग?	With other friends?
हाँ, पाँच चार जना साथी।	Yes, four to five friends.
सब राम्रो खेल्दछन्?	Do they all play well?
हाँ, सब राम्रोसँग खेल्दछन्।	Yes, they all play well.
दर्शकहरू आउँदछन्?	Do spectators come?
कहिले कहिले।	Sometimes.
पुरस्कार पाएको छ?	Have you won any awards?
हाँ, कुछ स्थानीय पुरस्कार।	Yes, some local awards.
तपाइँको परिवार खेल समर्थन गर्दछ?	Does your family support the sport?
हाँ, सहरता समर्थन गरदछन्।	Yes, they support wholeheartedly.
काम कस्तो व्यस्त छ?	How busy is work?
साँच्चै व्यस्त।	Really busy.
कति घण्टा काम गर्नुहुन्छ?	How many hours do you work?
नौ देशि देश घण्टा।	Nine to five, sometimes more.
छुट्टी कब पाउनुहुन्छ?	When do you get leave?
सप्ताहान्तमा।	On weekends.
यो पर्याप्त छ?	Is it enough?
अलिकति राम्रो हुन्थ्यो भने।	It would be better if there was more.
तपाइँ अवकाशमा कहाँ गिएको छ?	Where have you gone on vacation?
मैले भारत र बांग्ला देश भ्रमण गरेको छु।	I have visited India and Bangladesh.
कस्तो थियो?	How was it?
साँच्चै राम्रो अनुभव थियो।	It was a really good experience.
कहिले आर्थिक रूप फिर्ता जान चाहनुहुन्छ?	When will you go there again?
अगलो वर्ष शायद।	Maybe next year.
कुन मौसममा?	In which season?
गर्मीमा।	In summer.
के तपाइँ स्वास्थ्य राम्रो छ?	Is your health good?
हाँ, अलिकति समस्या भएको छ।	Yes, I have some issues.
के समस्या?	What issues?
रातमा सुत्न सकिर हन्न।	I can't sleep well at night.
डाक्टरले भेट गरेको छ?	Have you seen a doctor?
हाँ, दवा दिएका छन्।	Yes, they gave me medicine.
सुधार भयो?	Have you improved?
अलिकति।	A bit.
माफ गर्नुहोस्, बस स्टेशन कहाँ छ?	Excuse me, where is the bus station?
सीधा जाउ, फेरा बायाँ तिरै।	Go straight, then turn left.
कति दूर छ?	How far is it?
पाँच मिनेटको दूरीमा छ।	It's about 5 minutes away.
होटेल कहाँ छ?	Where is the hotel?
सीधा जाएर अयँको दक्षिणमा छ।	Go straight, it's to the south.
बाजार कहाँ छ?	Where is the market?
अयँको पूर्वमा छ।	It's to the east from here.
अस्पताल कहाँ छ?	Where is the hospital?
उत्तरमा मुख्य सडकमा छ।	It's on the main road to the north.
पुस्तकालय कहाँ छ?	Where is the library?
विद्यालय को बाहिर छ।	It's outside the school.
मेट्रो स्टेशन कहाँ छ?	Where is the metro station?
यहाँवाट एक किलोमीटर को दूरीमा।	About 1 km from here.
क्या तुम मुझे सही रास्ता दिन सकते हो?	Can you show me the right path?
हाँ, मेरो साथ आऊ।	Yes, come with me.
यो दिशा ठीक छ?	Is this direction right?
नहीँ, अयँको बिपरीत दिशामा।	No, it's in the opposite direction.
अर्कोचोटी अयाँ फर्क गरेर हेर।	Try turning here from this junction.
स्कुल कहाँ छ?	Where is the school?
सीधा जाएर दाहिँ पलिसे स्टेशन छ।	Go straight and turn right at the police station.
यसको पछाडि छ?	Is it behind this?
नहीँ, अगाडिमा।	No, it's ahead.
यो नजिकै छ?	Is it nearby?
हाँ एकदम नजिकै।	Yes, very close.
धन्यवाद सहायता गरेकोको लागि।	Thanks for helping.
स्वागतम।	You're welcome.
यहाँबाट आर्मी को मार्गमा छ?	Is there a path to the Army from here?
हाँ, यहाँबाट सीधा।	Yes, it's straight from here.
कति दूर छ?	How far?
नमस्ते, मेरो नाम John हो। मैले अमेरिका बाट आएको हुँ।	Hello, my name is John. I came from America.
के तपाइँ Americaबाट हुनुहुन्छ?	Are you from America?
मेरो परिवार पनि अमेरिकामा छ।	My family is also in America.
अमेरिका कस्तो देश हो?	What kind of country is America?
नमस्ते, मेरो नाम John हो। मैले अंग्रेज बाट आएको हुँ।	Hello, my name is John. I came from England.
के तपाइँ Englandबाट हुनुहुन्छ?	Are you from England?
मेरो परिवार पनि अंग्रेजमा छ।	My family is also in England.
अंग्रेज कस्तो देश हो?	What kind of country is England?
नमस्ते, मेरो नाम John हो। मैले जर्मनी बाट आएको हुँ।	Hello, my name is John. I came from Germany.
के तपाइँ Germanyबाट हुनुहुन्छ?	Are you from Germany?
मेरो परिवार पनि जर्मनीमा छ।	My family is also in Germany.
जर्मनी कस्तो देश हो?	What kind of country is Germany?
नमस्ते, मेरो नाम John हो। मैले फ्रान्स बाट आएको हुँ।	Hello, my name is John. I came from France.
के तपाइँ Franceबाट हुनुहुन्छ?	Are you from France?
मेरो परिवार पनि फ्रान्समा छ।	My family is also in France.
फ्रान्स कस्तो देश हो?	What kind of country is France?
नमस्ते, मेरो नाम John हो। मैले अस्ट्रेलिया बाट आएको हुँ।	Hello, my name is John. I came from Australia.
के तपाइँ Australiaबाट हुनुहुन्छ?	Are you from Australia?
मेरो परिवार पनि अस्ट्रेलियामा छ।	My family is also in Australia.
अस्ट्रेलिया कस्तो देश हो?	What kind of country is Australia?
नमस्ते, मेरो नाम John हो। मैले कनाडा बाट आएको हुँ।	Hello, my name is John. I came from Canada.
के तपाइँ Canadaबाट हुनुहुन्छ?	Are you from Canada?
मेरो परिवार पनि कनाडामा छ।	My family is also in Canada.
कनाडा कस्तो देश हो?	What kind of country is Canada?
नमस्ते, मेरो नाम John हो। मैले जापान बाट आएको हुँ।	Hello, my name is John. I came from Japan.
के तपाइँ Japanबाट हुनुहुन्छ?	Are you from Japan?
मेरो परिवार पनि जापानमा छ।	My family is also in Japan.
जापान कस्तो देश हो?	What kind of country is Japan?
नमस्ते, मेरो नाम John हो। मैले दक्षिण कोरिया बाट आएको हुँ।	Hello, my name is John. I came from South Korea.
के तपाइँ South Koreaबाट हुनुहुन्छ?	Are you from South Korea?
मेरो परिवार पनि दक्षिण कोरियामा छ।	My family is also in South Korea.
दक्षिण कोरिया कस्तो देश हो?	What kind of country is South Korea?
नमस्ते, मेरो नाम John हो। मैले स्पेन बाट आएको हुँ।	Hello, my name is John. I came from Spain.
के तपाइँ Spainबाट हुनुहुन्छ?	Are you from Spain?
मेरो परिवार पनि स्पेनमा छ।	My family is also in Spain.
स्पेन कस्तो देश हो?	What kind of country is Spain?
नमस्ते, मेरो नाम John हो। मैले इटली बाट आएको हुँ।	Hello, my name is John. I came from Italy.
के तपाइँ Italyबाट हुनुहुन्छ?	Are you from Italy?
मेरो परिवार पनि इटलीमा छ।	My family is also in Italy.
इटली कस्तो देश हो?	What kind of country is Italy?
नमस्ते, मेरो नाम John हो। मैले थाइल्यान्ड बाट आएको हुँ।	Hello, my name is John. I came from Thailand.
के तपाइँ Thailandबाट हुनुहुन्छ?	Are you from Thailand?
मेरो परिवार पनि थाइल्यान्डमा छ।	My family is also in Thailand.
थाइल्यान्ड कस्तो देश हो?	What kind of country is Thailand?
नमस्ते, मेरो नाम John हो। मैले मलेसिया बाट आएको हुँ।	Hello, my name is John. I came from Malaysia.
के तपाइँ Malaysiaबाट हुनुहुन्छ?	Are you from Malaysia?
मेरो परिवार पनि मलेसियामा छ।	My family is also in Malaysia.
मलेसिया कस्तो देश हो?	What kind of country is Malaysia?
नमस्ते, मेरो नाम John हो। मैले सिङ्गापुर बाट आएको हुँ।	Hello, my name is John. I came from Singapore.
के तपाइँ Singaporeबाट हुनुहुन्छ?	Are you from Singapore?
मेरो परिवार पनि सिङ्गापुरमा छ।	My family is also in Singapore.
सिङ्गापुर कस्तो देश हो?	What kind of country is Singapore?
नमस्ते, मेरो नाम John हो। मैले भारत बाट आएको हुँ।	Hello, my name is John. I came from India.
के तपाइँ Indiaबाट हुनुहुन्छ?	Are you from India?
मेरो परिवार पनि भारतमा छ।	My family is also in India.
भारत कस्तो देश हो?	What kind of country is India?
नमस्ते, मेरो नाम John हो। मैले श्रीलङ्का बाट आएको हुँ।	Hello, my name is John. I came from Sri Lanka.
के तपाइँ Sri Lankaबाट हुनुहुन्छ?	Are you from Sri Lanka?
मेरो परिवार पनि श्रीलङ्कामा छ।	My family is also in Sri Lanka.
श्रीलङ्का कस्तो देश हो?	What kind of country is Sri Lanka?
नमस्ते, मेरो नाम Sarah हो। मैले अमेरिका बाट आएको हुँ।	Hello, my name is Sarah. I came from America.
के तपाइँ Americaबाट हुनुहुन्छ?	Are you from America?
मेरो परिवार पनि अमेरिकामा छ।	My family is also in America.
अमेरिका कस्तो देश हो?	What kind of country is America?
नमस्ते, मेरो नाम Sarah हो। मैले अंग्रेज बाट आएको हुँ।	Hello, my name is Sarah. I came from England.
के तपाइँ Englandबाट हुनुहुन्छ?	Are you from England?
मेरो परिवार पनि अंग्रेजमा छ।	My family is also in England.
अंग्रेज कस्तो देश हो?	What kind of country is England?
नमस्ते, मेरो नाम Sarah हो। मैले जर्मनी बाट आएको हुँ।	Hello, my name is Sarah. I came from Germany.
के तपाइँ Germanyबाट हुनुहुन्छ?	Are you from Germany?
मेरो परिवार पनि जर्मनीमा छ।	My family is also in Germany.
जर्मनी कस्तो देश हो?	What kind of country is Germany?
नमस्ते, मेरो नाम Sarah हो। मैले फ्रान्स बाट आएको हुँ।	Hello, my name is Sarah. I came from France.
के तपाइँ Franceबाट हुनुहुन्छ?	Are you from France?
मेरो परिवार पनि फ्रान्समा छ।	My family is also in France.
फ्रान्स कस्तो देश हो?	What kind of country is France?
नमस्ते, मेरो नाम Sarah हो। मैले अस्ट्रेलिया बाट आएको हुँ।	Hello, my name is Sarah. I came from Australia.
के तपाइँ Australiaबाट हुनुहुन्छ?	Are you from Australia?
मेरो परिवार पनि अस्ट्रेलियामा छ।	My family is also in Australia.
अस्ट्रेलिया कस्तो देश हो?	What kind of country is Australia?
नमस्ते, मेरो नाम Sarah हो। मैले कनाडा बाट आएको हुँ।	Hello, my name is Sarah. I came from Canada.
के तपाइँ Canadaबाट हुनुहुन्छ?	Are you from Canada?
मेरो परिवार पनि कनाडामा छ।	My family is also in Canada.
कनाडा कस्तो देश हो?	What kind of country is Canada?
नमस्ते, मेरो नाम Sarah हो। मैले जापान बाट आएको हुँ।	Hello, my name is Sarah. I came from Japan.
के तपाइँ Japanबाट हुनुहुन्छ?	Are you from Japan?
मेरो परिवार पनि जापानमा छ।	My family is also in Japan.
जापान कस्तो देश हो?	What kind of country is Japan?
नमस्ते, मेरो नाम Sarah हो। मैले दक्षिण कोरिया बाट आएको हुँ।	Hello, my name is Sarah. I came from South Korea.
के तपाइँ South Koreaबाट हुनुहुन्छ?	Are you from South Korea?
मेरो परिवार पनि दक्षिण कोरियामा छ।	My family is also in South Korea.
दक्षिण कोरिया कस्तो देश हो?	What kind of country is South Korea?
नमस्ते, मेरो नाम Sarah हो। मैले स्पेन बाट आएको हुँ।	Hello, my name is Sarah. I came from Spain.
के तपाइँ Spainबाट हुनुहुन्छ?	Are you from Spain?
मेरो परिवार पनि स्पेनमा छ।	My family is also in Spain.
स्पेन कस्तो देश हो?	What kind of country is Spain?
नमस्ते, मेरो नाम Sarah हो। मैले इटली बाट आएको हुँ।	Hello, my name is Sarah. I came from Italy.
के तपाइँ Italyबाट हुनुहुन्छ?	Are you from Italy?
मेरो परिवार पनि इटलीमा छ।	My family is also in Italy.
इटली कस्तो देश हो?	What kind of country is Italy?
नमस्ते, मेरो नाम Sarah हो। मैले थाइल्यान्ड बाट आएको हुँ।	Hello, my name is Sarah. I came from Thailand.
के तपाइँ Thailandबाट हुनुहुन्छ?	Are you from Thailand?
मेरो परिवार पनि थाइल्यान्डमा छ।	My family is also in Thailand.
थाइल्यान्ड कस्तो देश हो?	What kind of country is Thailand?
नमस्ते, मेरो नाम Sarah हो। मैले मलेसिया बाट आएको हुँ।	Hello, my name is Sarah. I came from Malaysia.
के तपाइँ Malaysiaबाट हुनुहुन्छ?	Are you from Malaysia?
मेरो परिवार पनि मलेसियामा छ।	My family is also in Malaysia.
मलेसिया कस्तो देश हो?	What kind of country is Malaysia?
नमस्ते, मेरो नाम Sarah हो। मैले सिङ्गापुर बाट आएको हुँ।	Hello, my name is Sarah. I came from Singapore.
के तपाइँ Singaporeबाट हुनुहुन्छ?	Are you from Singapore?
मेरो परिवार पनि सिङ्गापुरमा छ।	My family is also in Singapore.
सिङ्गापुर कस्तो देश हो?	What kind of country is Singapore?
नमस्ते, मेरो नाम Sarah हो। मैले भारत बाट आएको हुँ।	Hello, my name is Sarah. I came from India.
के तपाइँ Indiaबाट हुनुहुन्छ?	Are you from India?
मेरो परिवार पनि भारतमा छ।	My family is also in India.
भारत कस्तो देश हो?	What kind of country is India?
नमस्ते, मेरो नाम Sarah हो। मैले श्रीलङ्का बाट आएको हुँ।	Hello, my name is Sarah. I came from Sri Lanka.
के तपाइँ Sri Lankaबाट हुनुहुन्छ?	Are you from Sri Lanka?
मेरो परिवार पनि श्रीलङ्कामा छ।	My family is also in Sri Lanka.
श्रीलङ्का कस्तो देश हो?	What kind of country is Sri Lanka?
नमस्ते, मेरो नाम Mike हो। मैले अमेरिका बाट आएको हुँ।	Hello, my name is Mike. I came from America.
के तपाइँ Americaबाट हुनुहुन्छ?	Are you from America?
मेरो परिवार पनि अमेरिकामा छ।	My family is also in America.
अमेरिका कस्तो देश हो?	What kind of country is America?
नमस्ते, मेरो नाम Mike हो। मैले अंग्रेज बाट आएको हुँ।	Hello, my name is Mike. I came from England.
के तपाइँ Englandबाट हुनुहुन्छ?	Are you from England?
मेरो परिवार पनि अंग्रेजमा छ।	My family is also in England.
अंग्रेज कस्तो देश हो?	What kind of country is England?
नमस्ते, मेरो नाम Mike हो। मैले जर्मनी बाट आएको हुँ।	Hello, my name is Mike. I came from Germany.
के तपाइँ Germanyबाट हुनुहुन्छ?	Are you from Germany?
मेरो परिवार पनि जर्मनीमा छ।	My family is also in Germany.
जर्मनी कस्तो देश हो?	What kind of country is Germany?
नमस्ते, मेरो नाम Mike हो। मैले फ्रान्स बाट आएको हुँ।	Hello, my name is Mike. I came from France.
के तपाइँ Franceबाट हुनुहुन्छ?	Are you from France?
मेरो परिवार पनि फ्रान्समा छ।	My family is also in France.
फ्रान्स कस्तो देश हो?	What kind of country is France?
नमस्ते, मेरो नाम Mike हो। मैले अस्ट्रेलिया बाट आएको हुँ।	Hello, my name is Mike. I came from Australia.
के तपाइँ Australiaबाट हुनुहुन्छ?	Are you from Australia?
मेरो परिवार पनि अस्ट्रेलियामा छ।	My family is also in Australia.
अस्ट्रेलिया कस्तो देश हो?	What kind of country is Australia?
नमस्ते, मेरो नाम Mike हो। मैले कनाडा बाट आएको हुँ।	Hello, my name is Mike. I came from Canada.
के तपाइँ Canadaबाट हुनुहुन्छ?	Are you from Canada?
मेरो परिवार पनि कनाडामा छ।	My family is also in Canada.
कनाडा कस्तो देश हो?	What kind of country is Canada?
नमस्ते, मेरो नाम Mike हो। मैले जापान बाट आएको हुँ।	Hello, my name is Mike. I came from Japan.
के तपाइँ Japanबाट हुनुहुन्छ?	Are you from Japan?
मेरो परिवार पनि जापानमा छ।	My family is also in Japan.
जापान कस्तो देश हो?	What kind of country is Japan?
नमस्ते, मेरो नाम Mike हो। मैले दक्षिण कोरिया बाट आएको हुँ।	Hello, my name is Mike. I came from South Korea.
के तपाइँ South Koreaबाट हुनुहुन्छ?	Are you from South Korea?
मेरो परिवार पनि दक्षिण कोरियामा छ।	My family is also in South Korea.
दक्षिण कोरिया कस्तो देश हो?	What kind of country is South Korea?
नमस्ते, मेरो नाम Mike हो। मैले स्पेन बाट आएको हुँ।	Hello, my name is Mike. I came from Spain.
के तपाइँ Spainबाट हुनुहुन्छ?	Are you from Spain?
मेरो परिवार पनि स्पेनमा छ।	My family is also in Spain.
स्पेन कस्तो देश हो?	What kind of country is Spain?
नमस्ते, मेरो नाम Mike हो। मैले इटली बाट आएको हुँ।	Hello, my name is Mike. I came from Italy.
के तपाइँ Italyबाट हुनुहुन्छ?	Are you from Italy?
मेरो परिवार पनि इटलीमा छ।	My family is also in Italy.
इटली कस्तो देश हो?	What kind of country is Italy?
नमस्ते, मेरो नाम Mike हो। मैले थाइल्यान्ड बाट आएको हुँ।	Hello, my name is Mike. I came from Thailand.
के तपाइँ Thailandबाट हुनुहुन्छ?	Are you from Thailand?
मेरो परिवार पनि थाइल्यान्डमा छ।	My family is also in Thailand.
थाइल्यान्ड कस्तो देश हो?	What kind of country is Thailand?
नमस्ते, मेरो नाम Mike हो। मैले मलेसिया बाट आएको हुँ।	Hello, my name is Mike. I came from Malaysia.
के तपाइँ Malaysiaबाट हुनुहुन्छ?	Are you from Malaysia?
मेरो परिवार पनि मलेसियामा छ।	My family is also in Malaysia.
मलेसिया कस्तो देश हो?	What kind of country is Malaysia?
नमस्ते, मेरो नाम Mike हो। मैले सिङ्गापुर बाट आएको हुँ।	Hello, my name is Mike. I came from Singapore.
के तपाइँ Singaporeबाट हुनुहुन्छ?	Are you from Singapore?
मेरो परिवार पनि सिङ्गापुरमा छ।	My family is also in Singapore.
सिङ्गापुर कस्तो देश हो?	What kind of country is Singapore?
नमस्ते, मेरो नाम Mike हो। मैले भारत बाट आएको हुँ।	Hello, my name is Mike. I came from India.
के तपाइँ Indiaबाट हुनुहुन्छ?	Are you from India?
मेरो परिवार पनि भारतमा छ।	My family is also in India.
भारत कस्तो देश हो?	What kind of country is India?
नमस्ते, मेरो नाम Mike हो। मैले श्रीलङ्का बाट आएको हुँ।	Hello, my name is Mike. I came from Sri Lanka.
के तपाइँ Sri Lankaबाट हुनुहुन्छ?	Are you from Sri Lanka?
मेरो परिवार पनि श्रीलङ्कामा छ।	My family is also in Sri Lanka.
श्रीलङ्का कस्तो देश हो?	What kind of country is Sri Lanka?
नमस्ते, मेरो नाम Lisa हो। मैले अमेरिका बाट आएको हुँ।	Hello, my name is Lisa. I came from America.
के तपाइँ Americaबाट हुनुहुन्छ?	Are you from America?
मेरो परिवार पनि अमेरिकामा छ।	My family is also in America.
अमेरिका कस्तो देश हो?	What kind of country is America?
नमस्ते, मेरो नाम Lisa हो। मैले अंग्रेज बाट आएको हुँ।	Hello, my name is Lisa. I came from England.
के तपाइँ Englandबाट हुनुहुन्छ?	Are you from England?
मेरो परिवार पनि अंग्रेजमा छ।	My family is also in England.
अंग्रेज कस्तो देश हो?	What kind of country is England?
नमस्ते, मेरो नाम Lisa हो। मैले जर्मनी बाट आएको हुँ।	Hello, my name is Lisa. I came from Germany.
के तपाइँ Germanyबाट हुनुहुन्छ?	Are you from Germany?
मेरो परिवार पनि जर्मनीमा छ।	My family is also in Germany.
जर्मनी कस्तो देश हो?	What kind of country is Germany?
नमस्ते, मेरो नाम Lisa हो। मैले फ्रान्स बाट आएको हुँ।	Hello, my name is Lisa. I came from France.
के तपाइँ Franceबाट हुनुहुन्छ?	Are you from France?
मेरो परिवार पनि फ्रान्समा छ।	My family is also in France.
फ्रान्स कस्तो देश हो?	What kind of country is France?
नमस्ते, मेरो नाम Lisa हो। मैले अस्ट्रेलिया बाट आएको हुँ।	Hello, my name is Lisa. I came from Australia.
के तपाइँ Australiaबाट हुनुहुन्छ?	Are you from Australia?
मेरो परिवार पनि अस्ट्रेलियामा छ।	My family is also in Australia.
अस्ट्रेलिया कस्तो देश हो?	What kind of country is Australia?
नमस्ते, मेरो नाम Lisa हो। मैले कनाडा बाट आएको हुँ।	Hello, my name is Lisa. I came from Canada.
के तपाइँ Canadaबाट हुनुहुन्छ?	Are you from Canada?
मेरो परिवार पनि कनाडामा छ।	My family is also in Canada.
कनाडा कस्तो देश हो?	What kind of country is Canada?
नमस्ते, मेरो नाम Lisa हो। मैले जापान बाट आएको हुँ।	Hello, my name is Lisa. I came from Japan.
के तपाइँ Japanबाट हुनुहुन्छ?	Are you from Japan?
मेरो परिवार पनि जापानमा छ।	My family is also in Japan.
जापान कस्तो देश हो?	What kind of country is Japan?
नमस्ते, मेरो नाम Lisa हो। मैले दक्षिण कोरिया बाट आएको हुँ।	Hello, my name is Lisa. I came from South Korea.
के तपाइँ South Koreaबाट हुनुहुन्छ?	Are you from South Korea?
मेरो परिवार पनि दक्षिण कोरियामा छ।	My family is also in South Korea.
दक्षिण कोरिया कस्तो देश हो?	What kind of country is South Korea?
नमस्ते, मेरो नाम Lisa हो। मैले स्पेन बाट आएको हुँ।	Hello, my name is Lisa. I came from Spain.
के तपाइँ Spainबाट हुनुहुन्छ?	Are you from Spain?
मेरो परिवार पनि स्पेनमा छ।	My family is also in Spain.
स्पेन कस्तो देश हो?	What kind of country is Spain?
नमस्ते, मेरो नाम Lisa हो। मैले इटली बाट आएको हुँ।	Hello, my name is Lisa. I came from Italy.
के तपाइँ Italyबाट हुनुहुन्छ?	Are you from Italy?
मेरो परिवार पनि इटलीमा छ।	My family is also in Italy.
इटली कस्तो देश हो?	What kind of country is Italy?
नमस्ते, मेरो नाम Lisa हो। मैले थाइल्यान्ड बाट आएको हुँ।	Hello, my name is Lisa. I came from Thailand.
के तपाइँ Thailandबाट हुनुहुन्छ?	Are you from Thailand?
मेरो परिवार पनि थाइल्यान्डमा छ।	My family is also in Thailand.
थाइल्यान्ड कस्तो देश हो?	What kind of country is Thailand?
नमस्ते, मेरो नाम Lisa हो। मैले मलेसिया बाट आएको हुँ।	Hello, my name is Lisa. I came from Malaysia.
के तपाइँ Malaysiaबाट हुनुहुन्छ?	Are you from Malaysia?
मेरो परिवार पनि मलेसियामा छ।	My family is also in Malaysia.
मलेसिया कस्तो देश हो?	What kind of country is Malaysia?
नमस्ते, मेरो नाम Lisa हो। मैले सिङ्गापुर बाट आएको हुँ।	Hello, my name is Lisa. I came from Singapore.
के तपाइँ Singaporeबाट हुनुहुन्छ?	Are you from Singapore?
मेरो परिवार पनि सिङ्गापुरमा छ।	My family is also in Singapore.
सिङ्गापुर कस्तो देश हो?	What kind of country is Singapore?
नमस्ते, मेरो नाम Lisa हो। मैले भारत बाट आएको हुँ।	Hello, my name is Lisa. I came from India.
के तपाइँ Indiaबाट हुनुहुन्छ?	Are you from India?
मेरो परिवार पनि भारतमा छ।	My family is also in India.
भारत कस्तो देश हो?	What kind of country is India?
नमस्ते, मेरो नाम Lisa हो। मैले श्रीलङ्का बाट आएको हुँ।	Hello, my name is Lisa. I came from Sri Lanka.
के तपाइँ Sri Lankaबाट हुनुहुन्छ?	Are you from Sri Lanka?
मेरो परिवार पनि श्रीलङ्कामा छ।	My family is also in Sri Lanka.
श्रीलङ्का कस्तो देश हो?	What kind of country is Sri Lanka?
नमस्ते, मेरो नाम David हो। मैले अमेरिका बाट आएको हुँ।	Hello, my name is David. I came from America.
के तपाइँ Americaबाट हुनुहुन्छ?	Are you from America?
मेरो परिवार पनि अमेरिकामा छ।	My family is also in America.
अमेरिका कस्तो देश हो?	What kind of country is America?
नमस्ते, मेरो नाम David हो। मैले अंग्रेज बाट आएको हुँ।	Hello, my name is David. I came from England.
के तपाइँ Englandबाट हुनुहुन्छ?	Are you from England?
मेरो परिवार पनि अंग्रेजमा छ।	My family is also in England.
अंग्रेज कस्तो देश हो?	What kind of country is England?
नमस्ते, मेरो नाम David हो। मैले जर्मनी बाट आएको हुँ।	Hello, my name is David. I came from Germany.
के तपाइँ Germanyबाट हुनुहुन्छ?	Are you from Germany?
मेरो परिवार पनि जर्मनीमा छ।	My family is also in Germany.
जर्मनी कस्तो देश हो?	What kind of country is Germany?
नमस्ते, मेरो नाम David हो। मैले फ्रान्स बाट आएको हुँ।	Hello, my name is David. I came from France.
के तपाइँ Franceबाट हुनुहुन्छ?	Are you from France?
मेरो परिवार पनि फ्रान्समा छ।	My family is also in France.
फ्रान्स कस्तो देश हो?	What kind of country is France?
नमस्ते, मेरो नाम David हो। मैले अस्ट्रेलिया बाट आएको हुँ।	Hello, my name is David. I came from Australia.
के तपाइँ Australiaबाट हुनुहुन्छ?	Are you from Australia?
मेरो परिवार पनि अस्ट्रेलियामा छ।	My family is also in Australia.
अस्ट्रेलिया कस्तो देश हो?	What kind of country is Australia?
नमस्ते, मेरो नाम David हो। मैले कनाडा बाट आएको हुँ।	Hello, my name is David. I came from Canada.
के तपाइँ Canadaबाट हुनुहुन्छ?	Are you from Canada?
मेरो परिवार पनि कनाडामा छ।	My family is also in Canada.
